# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collections,1786562635919000000,1786562695938000000,50
JVM.totalTimeAtSafepointsMs,1786562635919000000,1786562695938000000,872
MEM.ramPlusSwapMinusFileMappingsBytes,1786562635919000000,1786562695938000000,1098792960
JVM.totalCpuTimeMs,1786562635919000000,1786562695938000000,178210
MEM.ramBytes,1786562635919000000,1786562695938000000,1738268672
OS.loadAverage,1786562635919000000,1786562695938000000,3.82373046875
MEM.ramMinusFileMappingsBytes,1786562635919000000,1786562695938000000,1098792960
JVM.maxHeapBytes,1786562635919000000,1786562695938000000,2147483648
JVM.totalSafepointCount,1786562635919000000,1786562695938000000,216
JVM.threadCount,1786562635919000000,1786562695938000000,134
JVM.usedNativeBytes,1786562635919000000,1786562695938000000,384172960
JVM.totalDirectByteBuffersBytes,1786562635919000000,1786562695938000000,25900437
JVM.totalTimeToSafepointsMs,1786562635919000000,1786562695938000000,87
JVM.usedHeapBytes,1786562635919000000,1786562695938000000,315144624
JVM.totalBytesAllocated,1786562635919000000,1786562695938000000,3320851008
JVM.newThreadsCount,1786562635919000000,1786562695938000000,168
JVM.GC.collectionTimesMs,1786562635919000000,1786562695938000000,746
JVM.maxThreadCount,1786562635919000000,1786562695938000000,140
JVM.committedHeapBytes,1786562635919000000,1786562695938000000,492830720
MEM.fileMappingsRamBytes,1786562635919000000,1786562695938000000,639385600
jps.storage.jps.conf.reader.load.component.ms,1786562635919000000,1786562695938000000,3
workspaceModel.save.cache.to.file.ms,1786562635919000000,1786562695938000000,334
workspaceModel.moduleBridge.before.changed.ms,1786562635919000000,1786562695938000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786562635919000000,1786562695938000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786562635919000000,1786562695938000000,64
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1786562635919000000,1786562695938000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1786562635919000000,1786562695938000000,407
jps.apply.loaded.storage.ms,1786562635919000000,1786562695938000000,818
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1786562635919000000,1786562695938000000,0
jps.project.serializers.load.ms,1786562635919000000,1786562695938000000,67
workspaceModel.load.cache.from.file.ms,1786562635919000000,1786562695938000000,451
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786562635919000000,1786562695938000000,0
jps.reload.project.entities.ms,1786562635919000000,1786562695938000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786562635919000000,1786562695938000000,0
workspaceModel.global.updates.count,1786562635919000000,1786562695938000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1786562635919000000,1786562695938000000,0
jps.library.entities.serializer.save.entities.ms,1786562635919000000,1786562695938000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1786562635919000000,1786562695938000000,948
workspaceModel.moduleBridge.update.option.ms,1786562635919000000,1786562695938000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1786562635919000000,1786562695938000000,0
jps.library.entities.serializer.load.entities.ms,1786562635919000000,1786562695938000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786562635919000000,1786562695938000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1786562635919000000,1786562695938000000,0
workspaceModel.orphan.listener.update.ms,1786562635919000000,1786562695938000000,6
workspaceModel.mutableEntityStorage.add.entity.ms,1786562635919000000,1786562695938000000,85
jps.global.get.libraries.ms,1786562635919000000,1786562695938000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1786562635919000000,1786562695938000000,5
workspaceModel.mutableEntityStorage.put.entity.ms,1786562635919000000,1786562695938000000,18
jps.facet.change.listener.process.change.events.ms,1786562635919000000,1786562695938000000,5
workspaceModel.mutableEntityStorage.hasReferrers.ms,1786562635919000000,1786562695938000000,0
jps.artifact.entities.serializer.save.entities.ms,1786562635919000000,1786562695938000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1786562635919000000,1786562695938000000,0
jps.load.initial.state.ms,1786562635919000000,1786562695938000000,54
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786562635919000000,1786562695938000000,16
